,Rank,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,URL,Movie_Rating_bin,metascore_bin,watchtime_bin,Cast1,Cast2,Cast3,Cast4,Adventure,Music,Action,Fantasy,Thriller,War,Biography,Mystery,Comedy,Sport,Horror,Film-Noir,Romance,Family,Musical,Western,Sci-Fi,Drama,Crime,History,Animation,watchtime_minmax,gross_minmax,watchtime_standard,gross_standard
45,46,Apocalypse Now,1979-01-01,147,8.5,94.0,"678,690",83.47,u army officer serving vietnam tasked assassinating renegade special force colonel see god,Francis Ford Coppola,https://www.imdb.com/title/tt0078788/,excellent,excellent,long,['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3695652173913044,0.09723193065846499,0.5269504745935906,0.030078871331886456
46,47,The Lion King,1994-01-01,88,8.5,88.0,"1,078,027",422.78,lion prince simba father targeted bitter uncle want ascend throne,"Directors:Roger Allers, Rob Minkoff",https://www.imdb.com/title/tt0110357/,excellent,excellent,short,['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1557971014492754,0.4925322708420709,-1.3797144340916676,2.7870284252475015
47,48,The Pianist,2002-01-01,150,8.5,85.0,"849,549",32.57,polish jewish musician struggle survive destruction warsaw ghetto world war ii,Roman Polanski,https://www.imdb.com/title/tt0253474/,excellent,excellent,long,['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3804347826086956,0.03793280208770213,0.6238995377470783,-0.383491999831076
48,49,The Usual Suspects,1995-01-01,106,8.5,77.0,"1,099,634",23.34,sole survivor tell twisty event leading horrific gun battle boat began five criminal met seemingly random police lineup,Bryan Singer,https://www.imdb.com/title/tt0114814/,excellent,very good,medium,['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22101449275362317,0.027179738105223915,-0.7980200551707415,-0.45848726782388827
49,50,American History X,1998-01-01,119,8.5,62.0,"1,138,119",6.72,former neonazi skinhead try prevent younger brother going wrong path,Tony Kaye,https://www.imdb.com/title/tt0120586/,excellent,very good,medium,['Edward Norton', 'Edward Furlong'," ""Beverly D'Angelo""", 'Jennifer Lien'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.26811594202898553,0.007817232862668343,-0.3779074481722947,-0.5935275011977279
50,51,The Intouchables,2011-01-01,112,8.5,57.0,"875,949",13.18,becomes quadriplegic paragliding accident aristocrat hire young man project caregiver,"Directors:Olivier Nakache, Éric Toledano",https://www.imdb.com/title/tt1675434/,excellent,good,medium,['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24275362318840582,0.015343212638053964,-0.604121928863766,-0.5410389387672222
51,52,Once Upon a Time in the West,1968-01-01,165,8.5,82.0,"335,398",5.32,mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroad,Sergio Leone,https://www.imdb.com/title/tt0064116/,excellent,excellent,long,['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.43478260869565216,0.006186215573885084,1.1086448535145168,-0.6049027314458252
52,53,Casablanca,1942-01-01,102,8.5,100.0,"580,666",1.02,cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco,Michael Curtiz,https://www.imdb.com/title/tt0034583/,excellent,excellent,medium,['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2065217391304348,0.00117666247262221,-0.9272854727087251,-0.6398409386364095
53,54,Hotaru no haka,1988-01-01,89,8.5,94.0,"284,847",44.0,young boy little sister struggle survive japan world war ii,Isao Takahata,https://www.imdb.com/title/tt0095327/,excellent,excellent,short,['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15942028985507245,0.051248893238268325,-1.3473980797071718,-0.2906213700198253
54,55,Rear Window,1954-01-01,112,8.5,100.0,"499,496",36.76,wheelchairbound photographer spy neighbor greenwich village courtyard apartment window becomes convinced one committed murder despite skepticism fashionmodel girlfriend,Alfred Hitchcock,https://www.imdb.com/title/tt0047396/,excellent,excellent,medium,['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24275362318840582,0.0428142038305606,-0.604121928863766,-0.3494475607314137
